state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
New Hampshire,3/13/2020,-1.0,31.0,-23.0,-13.0,-3.0,4.0
New Jersey,3/13/2020,-1.0,27.0,39.0,-20.0,-9.0,6.0
New Mexico,3/13/2020,1.0,39.0,-13.0,3.0,-6.0,3.0
New York,3/13/2020,-6.0,28.0,1.0,-19.0,-8.0,5.0
North Carolina,3/13/2020,5.0,24.0,37.0,-4.0,-3.0,0.0
North Dakota,3/13/2020,3.0,19.0,5.0,4.0,-2.0,2.0
Ohio,3/13/2020,-1.0,21.0,46.0,1.0,-4.0,2.0
Oklahoma,3/13/2020,3.0,14.0,-14.0,8.0,-7.0,3.0
Oregon,3/13/2020,-4.0,20.0,-7.0,-11.0,-6.0,4.0
Pennsylvania,3/13/2020,1.0,22.0,33.0,-11.0,-7.0,3.0
Rhode Island,3/13/2020,-1.0,34.0,-10.0,-21.0,-3.0,4.0
South Carolina,3/13/2020,8.0,22.0,41.0,10.0,-2.0,-1.0
South Dakota,3/13/2020,1.0,36.0,12.0,4.0,-1.0,3.0
Tennessee,3/13/2020,2.0,23.0,29.0,0.0,-6.0,2.0
Texas,3/13/2020,1.0,31.0,4.0,-5.0,-15.0,4.0
Utah,3/13/2020,-2.0,44.0,12.0,-9.0,-4.0,3.0
Vermont,3/13/2020,-3.0,14.0,-16.0,-20.0,-4.0,4.0
Virginia,3/13/2020,3.0,22.0,46.0,-8.0,-8.0,3.0
Washington,3/13/2020,-9.0,17.0,-15.0,-28.0,-17.0,7.0
West Virginia,3/13/2020,7.0,19.0,22.0,6.0,-3.0,1.0
Wisconsin,3/13/2020,2.0,25.0,13.0,2.0,0.0,2.0
Wyoming,3/13/2020,-3.0,29.0,-2.0,3.0,-3.0,3.0
Alabama,3/14/2020,1.0,28.0,55.0,12.0,4.0,0.0
Alaska,3/14/2020,0.0,19.0,37.0,1.0,-1.0,1.0
Arizona,3/14/2020,-5.0,18.0,-6.0,-2.0,-2.0,2.0
Arkansas,3/14/2020,-7.0,11.0,-21.0,-1.0,0.0,4.0
California,3/14/2020,-13.0,23.0,-37.0,-24.0,-6.0,6.0
Colorado,3/14/2020,-14.0,18.0,-17.0,-15.0,-4.0,5.0
Connecticut,3/14/2020,-7.0,16.0,95.0,-12.0,-3.0,3.0
Delaware,3/14/2020,-1.0,11.0,84.0,-3.0,0.0,2.0
District of Columbia,3/14/2020,-28.0,5.0,-26.0,-30.0,-9.0,4.0
Florida,3/14/2020,-6.0,16.0,8.0,-10.0,-1.0,2.0
Georgia,3/14/2020,-4.0,17.0,50.0,-4.0,0.0,2.0
Hawaii,3/14/2020,-6.0,6.0,2.0,-9.0,-4.0,2.0
Idaho,3/14/2020,-6.0,26.0,-11.0,-2.0,-1.0,3.0
Illinois,3/14/2020,-7.0,31.0,-13.0,-8.0,0.0,3.0
Indiana,3/14/2020,-7.0,15.0,1.0,1.0,-1.0,3.0
Iowa,3/14/2020,-7.0,18.0,-16.0,-1.0,1.0,3.0
Kansas,3/14/2020,-11.0,16.0,-19.0,3.0,-1.0,3.0
Kentucky,3/14/2020,-8.0,16.0,-4.0,-1.0,-2.0,3.0
Louisiana,3/14/2020,-4.0,21.0,9.0,-1.0,-1.0,2.0
Maine,3/14/2020,-1.0,19.0,18.0,-6.0,-1.0,2.0
Maryland,3/14/2020,-7.0,11.0,66.0,-11.0,-2.0,3.0
Massachusetts,3/14/2020,-11.0,16.0,61.0,-19.0,-4.0,4.0
Michigan,3/14/2020,-13.0,13.0,16.0,-5.0,2.0,4.0
Minnesota,3/14/2020,-7.0,15.0,-14.0,-10.0,-1.0,4.0
Mississippi,3/14/2020,3.0,21.0,41.0,10.0,0.0,-1.0
Missouri,3/14/2020,-6.0,18.0,-16.0,-3.0,1.0,3.0
Montana,3/14/2020,-15.0,13.0,-44.0,-5.0,-6.0,4.0
Nebraska,3/14/2020,-17.0,5.0,-25.0,-10.0,-6.0,7.0
Nevada,3/14/2020,-6.0,22.0,-19.0,-9.0,-5.0,3.0
New Hampshire,3/14/2020,-5.0,20.0,23.0,-4.0,0.0,2.0
New Jersey,3/14/2020,-7.0,16.0,87.0,-16.0,-2.0,4.0
New Mexico,3/14/2020,-5.0,24.0,20.0,8.0,-2.0,2.0
New York,3/14/2020,-9.0,21.0,20.0,-20.0,-2.0,4.0
North Carolina,3/14/2020,-1.0,17.0,57.0,-4.0,0.0,1.0
North Dakota,3/14/2020,-2.0,15.0,-14.0,-6.0,2.0,3.0
Ohio,3/14/2020,-12.0,11.0,9.0,-4.0,-3.0,4.0
Oklahoma,3/14/2020,-5.0,13.0,-24.0,7.0,-3.0,3.0
Oregon,3/14/2020,-18.0,7.0,-12.0,-16.0,-6.0,6.0
Pennsylvania,3/14/2020,-7.0,13.0,40.0,-8.0,-2.0,3.0
Rhode Island,3/14/2020,-9.0,20.0,98.0,-16.0,-4.0,3.0
South Carolina,3/14/2020,4.0,18.0,64.0,10.0,1.0,0.0
South Dakota,3/14/2020,-21.0,7.0,-41.0,-16.0,-6.0,8.0
Tennessee,3/14/2020,-4.0,19.0,27.0,1.0,1.0,2.0
Texas,3/14/2020,-8.0,14.0,-3.0,-2.0,-3.0,2.0
Utah,3/14/2020,-13.0,23.0,15.0,-8.0,-3.0,4.0
Vermont,3/14/2020,-6.0,11.0,21.0,-5.0,-3.0,3.0
Virginia,3/14/2020,-7.0,14.0,37.0,-6.0,-3.0,3.0
Washington,3/14/2020,-19.0,8.0,3.0,-22.0,-8.0,6.0
West Virginia,3/14/2020,0.0,13.0,23.0,5.0,-2.0,2.0
Wisconsin,3/14/2020,-5.0,23.0,2.0,-2.0,2.0,3.0
Wyoming,3/14/2020,-7.0,20.0,-15.0,8.0,-2.0,3.0
Alabama,3/15/2020,-7.0,16.0,16.0,6.0,-4.0,2.0
Alaska,3/15/2020,5.0,14.0,58.0,7.0,-1.0,0.0
Arizona,3/15/2020,-2.0,16.0,15.0,-3.0,-4.0,1.0
Arkansas,3/15/2020,-5.0,14.0,-4.0,1.0,-4.0,3.0
California,3/15/2020,-16.0,11.0,-25.0,-23.0,-8.0,6.0
Colorado,3/15/2020,-14.0,12.0,16.0,-18.0,-10.0,4.0
Connecticut,3/15/2020,-13.0,4.0,56.0,-19.0,-8.0,5.0
Delaware,3/15/2020,-7.0,6.0,38.0,-16.0,-8.0,3.0
District of Columbia,3/15/2020,-35.0,-7.0,-43.0,-39.0,-17.0,6.0
Florida,3/15/2020,-9.0,9.0,12.0,-13.0,-6.0,3.0
Georgia,3/15/2020,-12.0,8.0,2.0,-13.0,-9.0,3.0
Hawaii,3/15/2020,-8.0,5.0,-7.0,-11.0,-5.0,3.0
Idaho,3/15/2020,2.0,26.0,28.0,2.0,-8.0,3.0
Illinois,3/15/2020,-8.0,25.0,25.0,-13.0,-5.0,3.0
Indiana,3/15/2020,-7.0,12.0,37.0,0.0,-5.0,2.0
Iowa,3/15/2020,0.0,30.0,18.0,1.0,-2.0,1.0
Kansas,3/15/2020,-6.0,10.0,-28.0,5.0,-6.0,3.0
Kentucky,3/15/2020,-11.0,12.0,9.0,-3.0,-8.0,3.0
Louisiana,3/15/2020,-5.0,16.0,23.0,0.0,-4.0,2.0
Maine,3/15/2020,0.0,26.0,39.0,0.0,2.0,2.0
Maryland,3/15/2020,-13.0,2.0,20.0,-19.0,-11.0,5.0
Massachusetts,3/15/2020,-15.0,5.0,43.0,-26.0,-8.0,5.0
Michigan,3/15/2020,-11.0,10.0,87.0,-8.0,-4.0,3.0
Minnesota,3/15/2020,-5.0,19.0,31.0,-15.0,-4.0,3.0
Mississippi,3/15/2020,2.0,17.0,32.0,10.0,-4.0,1.0
Missouri,3/15/2020,-2.0,17.0,-8.0,-5.0,-2.0,2.0
Montana,3/15/2020,-14.0,10.0,-31.0,0.0,-6.0,4.0
Nebraska,3/15/2020,-12.0,10.0,-20.0,-5.0,-2.0,4.0
Nevada,3/15/2020,-6.0,21.0,-2.0,-17.0,-7.0,3.0
New Hampshire,3/15/2020,-6.0,10.0,24.0,-7.0,-3.0,3.0
New Jersey,3/15/2020,-14.0,6.0,79.0,-24.0,-8.0,5.0
New Mexico,3/15/2020,-7.0,16.0,19.0,6.0,-5.0,3.0
New York,3/15/2020,-14.0,14.0,28.0,-25.0,-7.0,4.0
North Carolina,3/15/2020,-8.0,13.0,-3.0,-14.0,-9.0,3.0
North Dakota,3/15/2020,-8.0,13.0,-13.0,-7.0,-1.0,3.0
Ohio,3/15/2020,-9.0,17.0,46.0,-6.0,-7.0,3.0
Oklahoma,3/15/2020,-5.0,9.0,-21.0,4.0,-4.0,2.0
Oregon,3/15/2020,-11.0,4.0,16.0,-14.0,-9.0,4.0
Pennsylvania,3/15/2020,-8.0,8.0,63.0,-15.0,-7.0,3.0
Rhode Island,3/15/2020,-13.0,6.0,81.0,-21.0,-5.0,4.0
South Carolina,3/15/2020,2.0,23.0,15.0,16.0,-3.0,1.0
South Dakota,3/15/2020,-8.0,12.0,1.0,-4.0,-6.0,4.0
Tennessee,3/15/2020,-8.0,13.0,-2.0,-5.0,-7.0,3.0
Texas,3/15/2020,-9.0,7.0,-17.0,-7.0,-7.0,3.0
Utah,3/15/2020,-6.0,24.0,68.0,-4.0,-19.0,4.0
Vermont,3/15/2020,-8.0,14.0,10.0,-32.0,-8.0,3.0
Virginia,3/15/2020,-14.0,5.0,-13.0,-17.0,-11.0,5.0
Washington,3/15/2020,-10.0,5.0,28.0,-22.0,-11.0,4.0
West Virginia,3/15/2020,-3.0,11.0,8.0,13.0,-5.0,2.0
Wisconsin,3/15/2020,-5.0,13.0,47.0,-7.0,-1.0,2.0
Wyoming,3/15/2020,-4.0,17.0,3.0,0.0,-3.0,2.0
Alabama,3/16/2020,-2.0,24.0,22.0,2.0,-10.0,4.0
Alaska,3/16/2020,1.0,20.0,29.0,-6.0,-12.0,4.0
Arizona,3/16/2020,0.0,22.0,13.0,-9.0,-19.0,5.0
Arkansas,3/16/2020,-6.0,13.0,-20.0,-6.0,-16.0,7.0
California,3/16/2020,-12.0,21.0,-27.0,-31.0,-24.0,11.0
Colorado,3/16/2020,-7.0,22.0,44.0,-23.0,-21.0,7.0
Connecticut,3/16/2020,-7.0,26.0,16.0,-25.0,-23.0,9.0
Delaware,3/16/2020,0.0,15.0,9.0,-15.0,-19.0,7.0
District of Columbia,3/16/2020,-31.0,-1.0,-35.0,-43.0,-40.0,16.0
Florida,3/16/2020,-6.0,14.0,0.0,-16.0,-18.0,6.0
Georgia,3/16/2020,-8.0,18.0,-4.0,-20.0,-20.0,7.0
Hawaii,3/16/2020,-10.0,7.0,-34.0,-15.0,-17.0,7.0
Idaho,3/16/2020,2.0,31.0,65.0,-2.0,-4.0,1.0
Illinois,3/16/2020,-10.0,30.0,-19.0,-27.0,-19.0,8.0
Indiana,3/16/2020,-5.0,26.0,4.0,-3.0,-14.0,6.0
Iowa,3/16/2020,-3.0,48.0,15.0,-5.0,-15.0,5.0
Kansas,3/16/2020,-7.0,21.0,-6.0,-3.0,-18.0,7.0
Kentucky,3/16/2020,-8.0,24.0,-1.0,-9.0,-14.0,7.0
Louisiana,3/16/2020,-3.0,24.0,8.0,-7.0,-11.0,5.0
Maine,3/16/2020,-7.0,24.0,14.0,-11.0,-14.0,6.0
Maryland,3/16/2020,-7.0,16.0,12.0,-28.0,-24.0,10.0
Massachusetts,3/16/2020,-12.0,16.0,8.0,-41.0,-30.0,12.0
Michigan,3/16/2020,-17.0,24.0,13.0,-17.0,-21.0,9.0
Minnesota,3/16/2020,-5.0,20.0,-13.0,-27.0,-16.0,8.0
Mississippi,3/16/2020,4.0,25.0,24.0,4.0,-14.0,4.0
Missouri,3/16/2020,-2.0,30.0,-11.0,-13.0,-14.0,6.0
Montana,3/16/2020,-2.0,29.0,10.0,2.0,-16.0,5.0
Nebraska,3/16/2020,-5.0,29.0,8.0,-4.0,-14.0,7.0
Nevada,3/16/2020,-5.0,28.0,-14.0,-19.0,-20.0,7.0
New Hampshire,3/16/2020,-1.0,28.0,22.0,-11.0,-16.0,7.0
New Jersey,3/16/2020,-10.0,18.0,9.0,-35.0,-25.0,11.0
New Mexico,3/16/2020,-2.0,25.0,36.0,4.0,-20.0,5.0
New York,3/16/2020,-15.0,24.0,-10.0,-36.0,-25.0,10.0
North Carolina,3/16/2020,-4.0,21.0,22.0,-15.0,-15.0,5.0
North Dakota,3/16/2020,-4.0,26.0,-16.0,-8.0,-13.0,6.0
Ohio,3/16/2020,-16.0,26.0,16.0,-9.0,-18.0,7.0
Oklahoma,3/16/2020,-2.0,21.0,-17.0,-2.0,-19.0,6.0
Oregon,3/16/2020,-5.0,17.0,53.0,-16.0,-22.0,7.0
Pennsylvania,3/16/2020,-6.0,18.0,10.0,-26.0,-22.0,8.0
Rhode Island,3/16/2020,-8.0,20.0,41.0,-32.0,-22.0,9.0
South Carolina,3/16/2020,-1.0,24.0,13.0,-1.0,-10.0,4.0
South Dakota,3/16/2020,-7.0,21.0,2.0,-5.0,-15.0,7.0
Tennessee,3/16/2020,-4.0,20.0,10.0,-7.0,-15.0,6.0
Texas,3/16/2020,-4.0,17.0,-2.0,-13.0,-22.0,7.0
Utah,3/16/2020,-7.0,30.0,62.0,-17.0,-22.0,8.0
Vermont,3/16/2020,-5.0,18.0,15.0,-23.0,-13.0,6.0
Virginia,3/16/2020,-7.0,14.0,10.0,-25.0,-20.0,9.0
Washington,3/16/2020,-13.0,19.0,45.0,-31.0,-26.0,9.0
West Virginia,3/16/2020,-1.0,16.0,4.0,1.0,-13.0,5.0
Wisconsin,3/16/2020,-10.0,19.0,7.0,-16.0,-13.0,6.0
Wyoming,3/16/2020,1.0,33.0,16.0,3.0,-16.0,4.0
Alabama,3/17/2020,-11.0,17.0,25.0,-1.0,-17.0,7.0
Alaska,3/17/2020,-14.0,8.0,12.0,-12.0,-15.0,7.0
Arizona,3/17/2020,-9.0,20.0,9.0,-9.0,-24.0,8.0
Arkansas,3/17/2020,-10.0,10.0,25.0,-6.0,-19.0,8.0
California,3/17/2020,-23.0,11.0,-12.0,-34.0,-33.0,14.0
Colorado,3/17/2020,-24.0,14.0,14.0,-29.0,-34.0,13.0
Connecticut,3/17/2020,-27.0,8.0,-10.0,-30.0,-31.0,14.0
Delaware,3/17/2020,-17.0,4.0,36.0,-21.0,-27.0,11.0
District of Columbia,3/17/2020,-40.0,-6.0,-22.0,-55.0,-52.0,19.0
Florida,3/17/2020,-11.0,14.0,1.0,-18.0,-22.0,8.0
Georgia,3/17/2020,-14.0,13.0,12.0,-21.0,-25.0,11.0
Hawaii,3/17/2020,-18.0,1.0,-43.0,-22.0,-23.0,12.0
Idaho,3/17/2020,-7.0,22.0,56.0,-2.0,-19.0,7.0
Illinois,3/17/2020,-23.0,17.0,44.0,-30.0,-31.0,12.0
Indiana,3/17/2020,-21.0,16.0,52.0,-3.0,-21.0,8.0
Iowa,3/17/2020,-21.0,34.0,65.0,-2.0,-23.0,8.0
Kansas,3/17/2020,-13.0,22.0,26.0,-3.0,-24.0,9.0
Kentucky,3/17/2020,-19.0,17.0,33.0,-6.0,-19.0,8.0
Louisiana,3/17/2020,-18.0,18.0,-3.0,-17.0,-20.0,9.0
Maine,3/17/2020,-24.0,7.0,-19.0,-18.0,-23.0,11.0
Maryland,3/17/2020,-20.0,4.0,52.0,-33.0,-32.0,14.0
Massachusetts,3/17/2020,-32.0,0.0,-19.0,-50.0,-39.0,17.0
Michigan,3/17/2020,-29.0,10.0,45.0,-19.0,-28.0,11.0
Minnesota,3/17/2020,-18.0,15.0,33.0,-26.0,-24.0,11.0
Mississippi,3/17/2020,-3.0,21.0,34.0,2.0,-18.0,6.0
Missouri,3/17/2020,-10.0,22.0,28.0,-11.0,-19.0,7.0
Montana,3/17/2020,-19.0,16.0,28.0,0.0,-22.0,7.0
Nebraska,3/17/2020,-17.0,17.0,29.0,-1.0,-20.0,10.0
Nevada,3/17/2020,-12.0,21.0,-25.0,-23.0,-26.0,9.0
New Hampshire,3/17/2020,-22.0,17.0,-12.0,-14.0,-25.0,12.0
New Jersey,3/17/2020,-27.0,4.0,9.0,-41.0,-35.0,16.0
New Mexico,3/17/2020,-11.0,22.0,13.0,3.0,-25.0,9.0
New York,3/17/2020,-31.0,13.0,-16.0,-42.0,-32.0,14.0
North Carolina,3/17/2020,-13.0,19.0,14.0,-18.0,-20.0,9.0
North Dakota,3/17/2020,-10.0,21.0,2.0,-2.0,-15.0,7.0
Ohio,3/17/2020,-25.0,11.0,27.0,-10.0,-25.0,10.0
Oklahoma,3/17/2020,-10.0,18.0,0.0,-3.0,-22.0,8.0
Oregon,3/17/2020,-22.0,12.0,63.0,-20.0,-29.0,10.0
Pennsylvania,3/17/2020,-28.0,2.0,-4.0,-34.0,-31.0,13.0
Rhode Island,3/17/2020,-31.0,5.0,-9.0,-40.0,-31.0,14.0
South Carolina,3/17/2020,-8.0,17.0,6.0,-2.0,-15.0,7.0
South Dakota,3/17/2020,-8.0,22.0,32.0,1.0,-19.0,8.0
Tennessee,3/17/2020,-10.0,17.0,8.0,-9.0,-19.0,8.0
Texas,3/17/2020,-12.0,15.0,2.0,-16.0,-26.0,10.0
Utah,3/17/2020,-18.0,22.0,95.0,-22.0,-28.0,10.0
Vermont,3/17/2020,-24.0,5.0,-12.0,-26.0,-23.0,11.0
Virginia,3/17/2020,-13.0,10.0,52.0,-25.0,-28.0,11.0
Washington,3/17/2020,-26.0,8.0,62.0,-33.0,-35.0,13.0
West Virginia,3/17/2020,-5.0,14.0,7.0,-2.0,-16.0,6.0
Wisconsin,3/17/2020,-20.0,14.0,58.0,-11.0,-21.0,9.0
Wyoming,3/17/2020,-7.0,27.0,24.0,4.0,-19.0,6.0
Alabama,3/18/2020,-13.0,13.0,39.0,-3.0,-22.0,8.0
Alaska,3/18/2020,-19.0,8.0,6.0,-12.0,-21.0,9.0
Arizona,3/18/2020,-23.0,6.0,-38.0,-21.0,-31.0,12.0
Arkansas,3/18/2020,-12.0,8.0,50.0,-9.0,-22.0,8.0
California,3/18/2020,-29.0,4.0,-20.0,-39.0,-38.0,17.0
Colorado,3/18/2020,-26.0,10.0,50.0,-32.0,-38.0,14.0
Connecticut,3/18/2020,-27.0,6.0,46.0,-30.0,-34.0,14.0
Delaware,3/18/2020,-23.0,1.0,39.0,-24.0,-30.0,12.0
District of Columbia,3/18/2020,-45.0,-13.0,-32.0,-59.0,-56.0,21.0
Florida,3/18/2020,-19.0,7.0,0.0,-26.0,-26.0,10.0
Georgia,3/18/2020,-18.0,7.0,24.0,-24.0,-29.0,12.0
Hawaii,3/18/2020,-20.0,0.0,-23.0,-27.0,-25.0,12.0
Idaho,3/18/2020,-12.0,17.0,48.0,-6.0,-23.0,9.0
Illinois,3/18/2020,-34.0,8.0,-34.0,-39.0,-35.0,16.0
Indiana,3/18/2020,-27.0,7.0,-10.0,-9.0,-25.0,12.0
Iowa,3/18/2020,-32.0,17.0,1.0,-4.0,-26.0,12.0
Kansas,3/18/2020,-16.0,24.0,62.0,0.0,-26.0,9.0
Kentucky,3/18/2020,-24.0,13.0,-5.0,-11.0,-23.0,10.0
Louisiana,3/18/2020,-20.0,12.0,11.0,-17.0,-24.0,9.0
Maine,3/18/2020,-25.0,9.0,43.0,-18.0,-28.0,11.0
Maryland,3/18/2020,-23.0,0.0,39.0,-37.0,-37.0,16.0
Massachusetts,3/18/2020,-31.0,1.0,53.0,-50.0,-42.0,17.0
Michigan,3/18/2020,-33.0,4.0,10.0,-24.0,-31.0,13.0
Minnesota,3/18/2020,-34.0,2.0,7.0,-35.0,-32.0,15.0
Mississippi,3/18/2020,-5.0,17.0,32.0,0.0,-21.0,7.0
Missouri,3/18/2020,-12.0,20.0,2.0,-10.0,-24.0,8.0
Montana,3/18/2020,-27.0,5.0,10.0,-11.0,-26.0,10.0
Nebraska,3/18/2020,-22.0,14.0,17.0,-8.0,-24.0,11.0
Nevada,3/18/2020,-27.0,12.0,-36.0,-29.0,-36.0,14.0
New Hampshire,3/18/2020,-23.0,15.0,61.0,-17.0,-29.0,13.0
New Jersey,3/18/2020,-30.0,1.0,46.0,-43.0,-39.0,17.0
New Mexico,3/18/2020,-15.0,19.0,-7.0,-2.0,-28.0,11.0
New York,3/18/2020,-33.0,10.0,7.0,-44.0,-36.0,16.0
North Carolina,3/18/2020,-22.0,9.0,28.0,-23.0,-25.0,10.0
North Dakota,3/18/2020,-19.0,18.0,-8.0,-7.0,-19.0,10.0
Ohio,3/18/2020,-29.0,5.0,2.0,-15.0,-28.0,12.0
Oklahoma,3/18/2020,-12.0,18.0,48.0,2.0,-25.0,8.0
Oregon,3/18/2020,-25.0,8.0,76.0,-24.0,-33.0,11.0
Pennsylvania,3/18/2020,-33.0,-2.0,31.0,-37.0,-35.0,14.0
Rhode Island,3/18/2020,-28.0,3.0,107.0,-41.0,-33.0,14.0
South Carolina,3/18/2020,-19.0,11.0,10.0,-4.0,-21.0,9.0
South Dakota,3/18/2020,-14.0,18.0,22.0,0.0,-21.0,9.0
Tennessee,3/18/2020,-15.0,14.0,21.0,-13.0,-22.0,9.0
Texas,3/18/2020,-16.0,14.0,11.0,-19.0,-29.0,12.0
Utah,3/18/2020,-26.0,20.0,14.0,-33.0,-42.0,17.0
Vermont,3/18/2020,-30.0,-4.0,21.0,-29.0,-31.0,13.0
Virginia,3/18/2020,-21.0,5.0,26.0,-30.0,-33.0,13.0
Washington,3/18/2020,-28.0,5.0,93.0,-36.0,-38.0,14.0
West Virginia,3/18/2020,-18.0,10.0,16.0,-4.0,-21.0,7.0
Wisconsin,3/18/2020,-34.0,3.0,-5.0,-21.0,-28.0,14.0
Wyoming,3/18/2020,-13.0,21.0,16.0,-2.0,-23.0,7.0
Alabama,3/19/2020,-20.0,15.0,27.0,-8.0,-25.0,10.0
Alaska,3/19/2020,-26.0,4.0,15.0,-21.0,-25.0,10.0
Arizona,3/19/2020,-22.0,7.0,-8.0,-23.0,-33.0,13.0
Arkansas,3/19/2020,-18.0,10.0,17.0,-10.0,-24.0,10.0
California,3/19/2020,-32.0,3.0,-20.0,-43.0,-40.0,18.0
Colorado,3/19/2020,-46.0,-12.0,-52.0,-57.0,-47.0,22.0
Connecticut,3/19/2020,-33.0,2.0,-12.0,-40.0,-36.0,17.0
Delaware,3/19/2020,-26.0,0.0,13.0,-39.0,-33.0,14.0
District of Columbia,3/19/2020,-46.0,-11.0,-18.0,-63.0,-58.0,22.0
Florida,3/19/2020,-23.0,6.0,-7.0,-33.0,-29.0,12.0
Georgia,3/19/2020,-21.0,10.0,27.0,-29.0,-31.0,13.0
Hawaii,3/19/2020,-23.0,-2.0,-31.0,-31.0,-28.0,14.0
Idaho,3/19/2020,-15.0,13.0,93.0,-9.0,-27.0,10.0
Illinois,3/19/2020,-34.0,16.0,-31.0,-43.0,-37.0,17.0
Indiana,3/19/2020,-28.0,15.0,-4.0,-13.0,-27.0,13.0
Iowa,3/19/2020,-37.0,4.0,-7.0,-15.0,-29.0,15.0
Kansas,3/19/2020,-23.0,14.0,94.0,-8.0,-30.0,12.0
Kentucky,3/19/2020,-28.0,12.0,2.0,-16.0,-26.0,11.0
Louisiana,3/19/2020,-25.0,15.0,-2.0,-24.0,-26.0,11.0
Maine,3/19/2020,-35.0,0.0,-9.0,-30.0,-31.0,14.0
Maryland,3/19/2020,-24.0,1.0,42.0,-41.0,-39.0,17.0
Massachusetts,3/19/2020,-39.0,-3.0,-36.0,-59.0,-44.0,21.0
Michigan,3/19/2020,-34.0,9.0,9.0,-30.0,-34.0,15.0
Minnesota,3/19/2020,-41.0,-6.0,-31.0,-45.0,-35.0,18.0
Mississippi,3/19/2020,-13.0,18.0,26.0,-3.0,-22.0,9.0
Missouri,3/19/2020,-25.0,13.0,9.0,-19.0,-29.0,13.0
Montana,3/19/2020,-29.0,2.0,2.0,-14.0,-28.0,11.0
Nebraska,3/19/2020,-33.0,0.0,-15.0,-22.0,-28.0,15.0
Nevada,3/19/2020,-36.0,-2.0,-39.0,-45.0,-43.0,17.0
New Hampshire,3/19/2020,-33.0,6.0,-24.0,-30.0,-32.0,17.0
New Jersey,3/19/2020,-35.0,-3.0,0.0,-50.0,-43.0,21.0
New Mexico,3/19/2020,-24.0,17.0,-2.0,-6.0,-33.0,13.0
New York,3/19/2020,-39.0,2.0,-16.0,-50.0,-40.0,18.0
North Carolina,3/19/2020,-23.0,10.0,42.0,-28.0,-27.0,11.0
North Dakota,3/19/2020,-30.0,11.0,-21.0,-17.0,-24.0,14.0
Ohio,3/19/2020,-32.0,8.0,14.0,-19.0,-31.0,14.0
Oklahoma,3/19/2020,-20.0,10.0,25.0,-6.0,-29.0,11.0
Oregon,3/19/2020,-28.0,6.0,76.0,-28.0,-35.0,12.0
Pennsylvania,3/19/2020,-35.0,-1.0,0.0,-42.0,-37.0,16.0
Rhode Island,3/19/2020,-36.0,-1.0,-16.0,-53.0,-36.0,17.0
South Carolina,3/19/2020,-22.0,10.0,32.0,-9.0,-23.0,10.0
South Dakota,3/19/2020,-29.0,4.0,-22.0,-21.0,-25.0,14.0
Tennessee,3/19/2020,-17.0,14.0,38.0,-16.0,-24.0,9.0
Texas,3/19/2020,-22.0,12.0,10.0,-25.0,-32.0,13.0
Utah,3/19/2020,-30.0,8.0,8.0,-33.0,-36.0,16.0
Vermont,3/19/2020,-37.0,-8.0,2.0,-37.0,-33.0,15.0
Virginia,3/19/2020,-23.0,5.0,62.0,-34.0,-35.0,14.0
Washington,3/19/2020,-31.0,3.0,87.0,-41.0,-40.0,15.0
West Virginia,3/19/2020,-22.0,10.0,9.0,-10.0,-23.0,9.0
Wisconsin,3/19/2020,-39.0,-3.0,-16.0,-27.0,-31.0,16.0
Wyoming,3/19/2020,-31.0,4.0,-27.0,-27.0,-29.0,14.0
Alabama,3/2/2020,8.0,4.0,-2.0,5.0,2.0,0.0
Alaska,3/2/2020,6.0,6.0,4.0,6.0,1.0,0.0
Arizona,3/2/2020,8.0,4.0,4.0,4.0,3.0,0.0
Arkansas,3/2/2020,14.0,7.0,26.0,3.0,3.0,-1.0
California,3/2/2020,6.0,6.0,8.0,0.0,4.0,-1.0
Colorado,3/2/2020,3.0,5.0,0.0,0.0,7.0,0.0
Connecticut,3/2/2020,7.0,8.0,31.0,2.0,4.0,-1.0
Delaware,3/2/2020,10.0,4.0,33.0,4.0,4.0,-1.0
District of Columbia,3/2/2020,0.0,-2.0,-1.0,4.0,5.0,0.0
Florida,3/2/2020,7.0,7.0,8.0,3.0,1.0,0.0
Georgia,3/2/2020,4.0,3.0,-9.0,0.0,2.0,0.0
Hawaii,3/2/2020,0.0,1.0,-7.0,-2.0,2.0,0.0
Idaho,3/2/2020,9.0,11.0,22.0,3.0,9.0,-3.0
Illinois,3/2/2020,8.0,8.0,20.0,0.0,-1.0,0.0
Indiana,3/2/2020,9.0,4.0,7.0,5.0,2.0,0.0
Iowa,3/2/2020,6.0,13.0,19.0,-3.0,4.0,0.0
Kansas,3/2/2020,8.0,5.0,35.0,2.0,6.0,-2.0
Kentucky,3/2/2020,8.0,6.0,-7.0,-1.0,2.0,1.0
Louisiana,3/2/2020,12.0,7.0,20.0,8.0,5.0,-1.0
Maine,3/2/2020,7.0,5.0,6.0,9.0,3.0,0.0
Maryland,3/2/2020,4.0,2.0,21.0,-1.0,4.0,0.0
Massachusetts,3/2/2020,7.0,5.0,21.0,2.0,3.0,0.0
Michigan,3/2/2020,9.0,4.0,28.0,5.0,2.0,-1.0
Minnesota,3/2/2020,6.0,4.0,-1.0,2.0,3.0,0.0
Mississippi,3/2/2020,17.0,9.0,10.0,5.0,3.0,-1.0
